CODIGO,EAN,TITULO,SINOPSIS,NARRACION,SELLO,AUTORES,PAGINAS,PESO,GRUESO,ANCHO,ALTO,COLECCION,IBIC,TAG_DESCRIPTIVOS,PORTADA,WEB,FEC_PUBLICACION,PRESENTACION,FRASE_MKT,SELLO_CMS,IDIOMA_PUBLICACION,SENTIDO_LECTURA,T_PROD,ISBN
8001215,9789501204476,La Filosofia Del Éxito Las 17 Lecciones Originales Para Triunfar,"Tienes en tus manos los diecisiete principios del éxito que Napoleon Hill descubrió tras más de veinte años de investigación. La esencia de la sabiduría de quien, a pesar de llevar décadas muerto, sigue siendo considerando ""el filósofo de la superación de todos los tiempos"". Autor de múltiples libros superventas, Hill te da las claves para alcanzar el éxito, la felicidad y la tranquilidad de espíritu. Líbrate de las limitaciones que te autoimpones y disfruta de la riqueza de la vida.Trabajar para conseguir tu objetivo será más fácil y productivo si conviertes estas enseñanzas en tus nuevos hábitos. Aprende a definir tu meta en la vida, a ser una persona proactiva y con iniciativa, a mantener a raya las emociones negativas y a ganarte la confianza de los demás. Si lo haces, tu nueva actitud te allanará el camino mucho más de lo que puedas imaginar.Usa esta obra como lo que es: la brújula que guio a un hombre que no sólo se hizo a sí mismo, sino que fue capaz de alcanzar todas las metas que se propuso. Porque, además de compartir los principios fundamentales del éxito, Napoleon Hill te da instrucciones detalladas sobre cómo aplicarlos. ¡Define tu norte y dirígete hacia él sin perder más tiempo!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",Sin Genero,Paidós,Napoleon Hill|,152,247,1,15,23,Empresa,AUTOAYUDA Y DESARROLLO PERSONAL || Consejos sobre carreras profesionales y cómo alcanzar el éxito || Psicología popular,"éxito,bestseller,del,filosofía,hágase,lecciones,originales,para,personal,rico,superación,triunfar,Alienta,Autoayuda,Autor,Colección,Crecimiento,Editorial,Hill,Napoleon,Piense",https://www.planetadelibros.com.ar/usuaris/libros/fotos/353/original/portada_la-filosofia-del-exito_napoleon-hill_202204191600.jpg,Autoayuda | Crecimiento personal,20220501,Rústica con solapas,"Si todavía no definiste lo que querés en la vida, es el momento de actuar.",Ediciones Paidós,Español,Occidental,LIB,978-950-12-0447-6
4030526,9789871524594,El Acto De Crear Una Manera De Ser,"«Me propuse a mí mismo escribir un libro acerca de cómo crear una gran obra de arte. En lugar de eso, se reveló como un libro acerca de cómo Ser.»  Los grandes productores musicales suelen ser reconocidos por un sonido único que solo ellos son capaces de lograr. Rick Rubin es conocido por eso y por algo más: por saber crear un espacio en el que artistas de diferentes géneros y tradiciones se reencuentran con su identidad profunda y con aquello que realmente tienen que ofrecer al mundo. Rubin ha convertido en una práctica su impulso de ayudar a las personas para que trasciendan expectativas autoimpuestas y reconecten con un estado de inocencia en el que lo sorprendente se convierte en inevitable. A lo largo de los años, Rubin ha pensado mucho en el origen de la creatividad: de dónde viene y de dónde no, y ha aprendido que ser artista no depende tanto de un resultado en concreto, sino de cómo nos relacionamos con el mundo. La creatividad tiene un lugar en la vida de todas las personas y todos podemos hacer ese espacio más grande. De hecho, hay pocas responsabilidades humanas que sean más importantes que esa.  El acto de crear es un curso bello y generoso que ilumina el camino del artista como una ruta que todos podemos seguir. Este libro destila la sabiduría recogida durante el trabajo de toda una vida y la convierte en una luminosa experiencia de lectura que tiene el poder de crear momentos ""y vidas"" de gozo y trascendencia al alcance de todo el mundo.    «Una hermosa reflexión sobre el proceso creativo. Guia a los lectores a través de ""78 áreas de pensamiento"", Rubin comparte su visión de la creatividad, que a su vez refleja su forma de ver el mundo. El libro hace un trabajo extraordinario al explicar estas ideas profundas y filosóficas de una manera fácil de entender», Complex     «Una obra de literatura trascendente, que sugiere que el universo aún nos sonríe a pesar de que los indicios nos digan todo lo contrario.», The Wall Street Journal     «El legendario prod",Sin Genero,Diana,Rick Rubin|,432,490,2,15,"21,5",Fuera de colección,"Compositores y músicos, bandas y grupos específicos || FICCIÓN Y TEMAS AFINES || FICCIÓN RELIGIOSA Y ESPIRITUAL || Vida y práctica budistas || Espiritualidad y experiencia religiosa || Estilos de vida alternativos || Hacer frente al estrés || Familia y relaciones || Psicología popular || MENTE, CUERPO Y ESPÍRITU || Mente, cuerpo y espíritu: pensamiento y práctica || Mente, cuerpo y espíritu: meditación y visualización || Chakras, auras y energía espiritual"," Rick,acto,artística,arte,artistas,colaboración,como,creación,crear,creativa,creativida,creatividad,creativo,desarrollo,estrategias,filosofía,industria,influencia,innovación,inspiración,libro,libros,musical,música,obra,proceso,producción,productores",https://www.planetadelibros.com.ar/usuaris/libros/fotos/397/original/396016_portada_el-acto-de-crear_victoria-simo-perales_202309281719.jpg,Autoayuda | Crecimiento personal || Autoayuda | Curación emocional || Autoayuda | Habilidades sociales || Esoterismo | Espiritualidad || Estilo de vida | Yoga || Salud | Salud mental | Ansiedad,20240401,Rústica con solapas,Un curso bello y generoso que ilumina el camino del artista como una ruta que todos podemos seguir.,Diana,Español,,LIB,978-987-1524-59-4
4033940,9786316691439,El Tunel Nueva Edicion,"En una trama de amor y muerte que aborda la soledad del individuo contemporáneo, el pintor Juan Pablo Castel se debate por comprender las causas que lo arrastraron a matar a la mujer que amaba, María Iribarne, y que era su única vía de salvación.  En este alucinante drama de la vida interior, seres intrincados en la bestial búsqueda de sentido ceden a la mentira, la hipocresía y los celos desmedidos. Aventura amorosa, aventura onírica, aventura del ser que brin-da testimonio de un asesinato, de cierta memoria culpable y de una valiente introspección.Novela publicada originalmente en 1948, El túnel es, además de la mejor introducción al universo prodigioso de Ernesto Sabato, un clásico de la literatura universal de un peso específico único. Una historia sobre el drama del hombre arrojado en el sinsentido más doloroso: la conciencia de la nada.",Sin Genero,Seix Barral,Ernesto Sabato|,144,215,1,"13,5",23,Fuera de colección,FICCIÓN MODERNA Y CONTEMPORÁNEA," comprar,argentina,bolsillo,central,clásica,completa,comprar,conseguir,crítico,dónde,edición,editorial,ensayo,estudio,físico,interpretación,leer,librería,libro,libros,literatura,novela,obras,online,para,personajes,por,precio,psicológica,qué,tema,Exis",https://www.planetadelibros.com.ar/usuaris/libros/fotos/429/original/portada_el-tunel-ne_ernesto-sabato_202509042220.jpg,Novela literaria,20251001,Rústica con solapas,"Ernesto Sabato  Relata un alucinante drama de la vida interior en el que nos enfrenta a la soledad, los celos y la obsesión",Seix Barral,Español,,LIB,978-631-6691-43-9
8001215,9789501204476,La Filosofia Del Éxito Las 17 Lecciones Originales Para Triunfar,"Tienes en tus manos los diecisiete principios del éxito que Napoleon Hill descubrió tras más de veinte años de investigación. La esencia de la sabiduría de quien, a pesar de llevar décadas muerto, sigue siendo considerando ""el filósofo de la superación de todos los tiempos"". Autor de múltiples libros superventas, Hill te da las claves para alcanzar el éxito, la felicidad y la tranquilidad de espíritu. Líbrate de las limitaciones que te autoimpones y disfruta de la riqueza de la vida.Trabajar para conseguir tu objetivo será más fácil y productivo si conviertes estas enseñanzas en tus nuevos hábitos. Aprende a definir tu meta en la vida, a ser una persona proactiva y con iniciativa, a mantener a raya las emociones negativas y a ganarte la confianza de los demás. Si lo haces, tu nueva actitud te allanará el camino mucho más de lo que puedas imaginar.Usa esta obra como lo que es: la brújula que guio a un hombre que no sólo se hizo a sí mismo, sino que fue capaz de alcanzar todas las metas que se propuso. Porque, además de compartir los principios fundamentales del éxito, Napoleon Hill te da instrucciones detalladas sobre cómo aplicarlos. ¡Define tu norte y dirígete hacia él sin perder más tiempo!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",Sin Genero,Paidós,Napoleon Hill|,152,247,1,15,23,Empresa,AUTOAYUDA Y DESARROLLO PERSONAL || Consejos sobre carreras profesionales y cómo alcanzar el éxito || Psicología popular,"éxito,bestseller,del,filosofía,hágase,lecciones,originales,para,personal,rico,superación,triunfar,Alienta,Autoayuda,Autor,Colección,Crecimiento,Editorial,Hill,Napoleon,Piense",https://www.planetadelibros.com.ar/usuaris/libros/fotos/353/original/portada_la-filosofia-del-exito_napoleon-hill_202204191600.jpg,Autoayuda | Crecimiento personal,20220501,Rústica con solapas,"Si todavía no definiste lo que querés en la vida, es el momento de actuar.",Ediciones Paidós,Español,Occidental,LIB,978-950-12-0447-6
8001400,9789501209914,La Teoria Let Them,"¿Qué pasaría si la felicidad, el éxito y el amor fueran más fáciles de alcanzar de lo que crees? En su nuevo libro, Mel Robbins, reconocida experta en motivación y mentalidad, te propone un enfoque revolucionario: aprender a soltar. Soltar las expectativas, el control, las comparaciones y el miedo para empezar a vivir plenamente.  Con un estilo cercano y práctico, la autora comparte historias personales, investigaciones clave y aprendizajes de expertos en psicología, neurociencia y desarrollo personal. Este libro te ayudará a liberarte de lo que no puedes controlar y a centrarte en lo que realmente importa: tu bienestar, tus metas y las relaciones que enriquecen tu vida.  No solo te invita a abandonar las opiniones, juicios y dramas que te limitan, sino que también te da herramientas concretas para construir una vida más auténtica, segura y feliz y que encuentres tu propio poder personal.  Con este libro descubrirás cómo diseñar una vida que te inspire y te permita alcanzar todo tu potencial para dar el siguiente gran paso hacia la vida que siempre has deseado.",Sin Genero,Paidós,Mel Robbins|,328,0,"1,8",15,23,Fuera de colección,"Teoría psicológica y escuelas de pensamiento || AUTOAYUDA Y DESARROLLO PERSONAL || Afirmación personal, motivación y autoestima","aprender,atomicos,autoestima,crecimiento,habitos,libros,mel,motivacion,personal,podcast,positiva,psicologia,robbins,soltar",https://www.planetadelibros.com.ar/usuaris/libros/fotos/421/original/portada_la-teoria-let-them-la-clave-esta-en-soltar_mel-robbins_202605051532.jpg,Autoayuda | Crecimiento personal,20250601,Rústica con solapas,Libérate de lo que no puedes controlar y céntrate en lo que realmente importa. La autora bestseller de The New York Times.,Ediciones Paidós,Español,,LIB,978-950-12-0991-4
4029379,9789508523532,Como Hacer Que Te Pasen Cosas Buenas,"¿Sabes que tus emociones y pensamientos tienen un impacto directo en tu organismo, en tu percepciónde la realidad e incluso en tus propios genes?¿Eres consciente de que tu manera de gestionar los conflictos te puede predisponer a sufrir ansiedad o depresión, las enfermedades más frecuentes del siglo XXI?  Para la doctora Marian Rojas Estapé la felicidad consiste en vivir instalado de forma sana en el presente, habiendo superado las heridas del pasado y mirando con ilusión al futuro. Muchos de los trastornos que padecemos provienen de la incapacidad para gestionar nuestro presente. La felicidad no es lo que nos pasa, sino cómo interpretamos lo que nos pasa.En Cómo hacer que te pasen cosas buenas entenderás la importancia de aprender a enfocar tu atención y descubrirás pautas para combatir los miedos, las angustias y cómo canalizar las emociones negativas que te llegan a bloquear física y mentalmente.",Sin Genero,Espasa,Marian Rojas Estapé|,264,294,"1,2",15,23,Fuera de colección,AUTOAYUDA Y DESARROLLO PERSONAL,,https://www.planetadelibros.com.ar/usuaris/libros/fotos/381/original/portada_como-hacer-que-te-pasen-cosas-buenas_marian-rojas-estape_202307031945.jpg,Autoayuda | Crecimiento personal,20230801,Rústica con solapas,"Entiende tu cerebro, gestiona tus emociones, mejora tu vida.",Espasa,Español,Occidental,LIB,978-950-852-353-2
4030526,9789871524594,El Acto De Crear Una Manera De Ser,"«Me propuse a mí mismo escribir un libro acerca de cómo crear una gran obra de arte. En lugar de eso, se reveló como un libro acerca de cómo Ser.»  Los grandes productores musicales suelen ser reconocidos por un sonido único que solo ellos son capaces de lograr. Rick Rubin es conocido por eso y por algo más: por saber crear un espacio en el que artistas de diferentes géneros y tradiciones se reencuentran con su identidad profunda y con aquello que realmente tienen que ofrecer al mundo. Rubin ha convertido en una práctica su impulso de ayudar a las personas para que trasciendan expectativas autoimpuestas y reconecten con un estado de inocencia en el que lo sorprendente se convierte en inevitable. A lo largo de los años, Rubin ha pensado mucho en el origen de la creatividad: de dónde viene y de dónde no, y ha aprendido que ser artista no depende tanto de un resultado en concreto, sino de cómo nos relacionamos con el mundo. La creatividad tiene un lugar en la vida de todas las personas y todos podemos hacer ese espacio más grande. De hecho, hay pocas responsabilidades humanas que sean más importantes que esa.  El acto de crear es un curso bello y generoso que ilumina el camino del artista como una ruta que todos podemos seguir. Este libro destila la sabiduría recogida durante el trabajo de toda una vida y la convierte en una luminosa experiencia de lectura que tiene el poder de crear momentos ""y vidas"" de gozo y trascendencia al alcance de todo el mundo.    «Una hermosa reflexión sobre el proceso creativo. Guia a los lectores a través de ""78 áreas de pensamiento"", Rubin comparte su visión de la creatividad, que a su vez refleja su forma de ver el mundo. El libro hace un trabajo extraordinario al explicar estas ideas profundas y filosóficas de una manera fácil de entender», Complex     «Una obra de literatura trascendente, que sugiere que el universo aún nos sonríe a pesar de que los indicios nos digan todo lo contrario.», The Wall Street Journal     «El legendario prod",Sin Genero,Diana,Rick Rubin|,432,490,2,15,"21,5",Fuera de colección,"Compositores y músicos, bandas y grupos específicos || FICCIÓN Y TEMAS AFINES || FICCIÓN RELIGIOSA Y ESPIRITUAL || Vida y práctica budistas || Espiritualidad y experiencia religiosa || Estilos de vida alternativos || Hacer frente al estrés || Familia y relaciones || Psicología popular || MENTE, CUERPO Y ESPÍRITU || Mente, cuerpo y espíritu: pensamiento y práctica || Mente, cuerpo y espíritu: meditación y visualización || Chakras, auras y energía espiritual"," Rick,acto,artística,arte,artistas,colaboración,como,creación,crear,creativa,creativida,creatividad,creativo,desarrollo,estrategias,filosofía,industria,influencia,innovación,inspiración,libro,libros,musical,música,obra,proceso,producción,productores",https://www.planetadelibros.com.ar/usuaris/libros/fotos/397/original/396016_portada_el-acto-de-crear_victoria-simo-perales_202309281719.jpg,Autoayuda | Crecimiento personal || Autoayuda | Curación emocional || Autoayuda | Habilidades sociales || Esoterismo | Espiritualidad || Estilo de vida | Yoga || Salud | Salud mental | Ansiedad,20240401,Rústica con solapas,Un curso bello y generoso que ilumina el camino del artista como una ruta que todos podemos seguir.,Diana,Español,,LIB,978-987-1524-59-4
4034448,9789878223667,El Asesinato De Roger Ackroyd,"EL LIBRO QUE CAMBIÓ PARA SIEMPRE LA INVESTIGACIÓN DETECTIVESCA  Hércules Poirot es requerido para investigar el asesinato de Roger Ackroyd. Pronto se da cuenta de que, para resolver este caso, debe antes profundizar en las circunstancias de otra muerte ocurrida tiempo atrás.",Sin Genero,Booket,Agatha Christie|,272,158,"1,6","12,5",19,Biblioteca Agatha Christie,FICCIÓN MODERNA Y CONTEMPORÁNEA,"asesinato,británico,clásica,clásico,comprar,con,crimen,criminal,del,detectives,detectivesco,enigma,famosa,giro,inesperado,inglés,inglesa,intriga,investigación,libro,libros,literatura,misterio,negra,novela,online,policial,policiales,pueblo,suspense",https://www.planetadelibros.com.ar/usuaris/libros/fotos/448/original/portada_el-asesinato-de-roger-ackroyd_agatha-christie_202602092021.png,Novela literaria,20260301,Rústica - Bolsillo,Agatha Christie: clásicos del suspenso que vencen al tiempo.  El caso más audaz de Poirot y el giro que revolucionó el género policial.,Booket,Español,,LIB,978-987-822-366-7
8001400,9789501209914,La Teoria Let Them,"¿Qué pasaría si la felicidad, el éxito y el amor fueran más fáciles de alcanzar de lo que crees? En su nuevo libro, Mel Robbins, reconocida experta en motivación y mentalidad, te propone un enfoque revolucionario: aprender a soltar. Soltar las expectativas, el control, las comparaciones y el miedo para empezar a vivir plenamente.  Con un estilo cercano y práctico, la autora comparte historias personales, investigaciones clave y aprendizajes de expertos en psicología, neurociencia y desarrollo personal. Este libro te ayudará a liberarte de lo que no puedes controlar y a centrarte en lo que realmente importa: tu bienestar, tus metas y las relaciones que enriquecen tu vida.  No solo te invita a abandonar las opiniones, juicios y dramas que te limitan, sino que también te da herramientas concretas para construir una vida más auténtica, segura y feliz y que encuentres tu propio poder personal.  Con este libro descubrirás cómo diseñar una vida que te inspire y te permita alcanzar todo tu potencial para dar el siguiente gran paso hacia la vida que siempre has deseado.",Sin Genero,Paidós,Mel Robbins|,328,0,"1,8",15,23,Fuera de colección,"Teoría psicológica y escuelas de pensamiento || AUTOAYUDA Y DESARROLLO PERSONAL || Afirmación personal, motivación y autoestima","aprender,atomicos,autoestima,crecimiento,habitos,libros,mel,motivacion,personal,podcast,positiva,psicologia,robbins,soltar",https://www.planetadelibros.com.ar/usuaris/libros/fotos/421/original/portada_la-teoria-let-them-la-clave-esta-en-soltar_mel-robbins_202605051532.jpg,Autoayuda | Crecimiento personal,20250601,Rústica con solapas,Libérate de lo que no puedes controlar y céntrate en lo que realmente importa. La autora bestseller de The New York Times.,Ediciones Paidós,Español,,LIB,978-950-12-0991-4
4034488,9789504995074,Gatos Comprende A Tu Amigo Con Bigotes,"Descubre la vida secreta de los gatos junto al experto en comportamiento felino Dr. John Bradshaw     Acompaña a Libby durante su día, mientras explora el mundo por su cuenta y cuando está en casa con su familia. Gracias a su INCREÍBLE OLFATO y memoria, Libby traza un mapa de su vecindario y aprende cuáles son los lugares seguros y cuáles debe EVITAR. Descubre cómo su dueña la ayuda a sentirse cómoda en casa, jugando con ella y enseñándole dónde puede RASCAR y cómo usar la puertita para gatos.Con esta guía esencial, aprenderás TODO lo que necesitas saber sobre tu  amigo con bigotes.",Sin Genero,Planeta,Dr. John Bradshaw|,128,139,"0,9",13,19,Fuera de colección,Gatos como mascotas || Edad de interés: a partir de 5 años,"amantes,amigo,animal,animales,aprendizaje,básica,bigotes,chicos,científica,comportamiento,comprar,comprende,con,cuidado,cómo,didáctico,divulgación,domésticos,educativo,educativos,entender,envío,explicado,felino,gato,gatos,guía,ilustrado,infantil,para",https://www.planetadelibros.com.ar/usuaris/libros/fotos/434/original/portada_gatos-comprende-a-tu-amigo-con-bigotes_dr-john-bradshaw_202602091945.png,Infantil | Animales,20260301,Rústica sin solapas,Descubre la vida secreta de tus mejores amigos.,Editorial Planeta,Español,,LIB,978-950-49-9507-4
